Playlist,10,20,50,100
Piano in the Background,0.12486,0.29783,0.3476534,0.4288742
Mood Booster,0.15,0.13,0.15,0.2
Salsa Hits_ Los 90s,0.35,0.37974359,0.407714,0.52119634
Country's Greatest Hits_  The '60s,0.12,0.135,0.155,0.205
Guilty Pleasures,0.143,0.13,0.15,0.207304029
Indie Workout,0.123,0.13,0.15,0.201298701
Made in Chile,0.125573,0.16,0.18,0.23
Cool Down,0.155677,0.26975,0.3133845,0.3998465
80s Rock Anthems,0.1094,0.135882353,0.161422845,0.254432845
Get Turnt,0.151,0.3286532,0.40562,0.76431
All Out 90s,0.1176,0.13,0.157022809,0.210820277
Country's Greatest Hits_  The '80s,0.216666667,0.216666667,0.2622091,0.41445231
80s Hard Rock,0.13734,0.164848485,0.21788934,0.2883753
Alternative 10s,0.122,0.13,0.152040816,0.202040816
Feel-Good Indie Rock,0.1285599,0.136666667,0.161111111,0.214725569
Pop Sauce,0.1211,0.139090909,0.171340909,0.225736513
Autumn Leaves,0.11905,0.13,0.153846154,0.210918114
Deep Dark Indie,0.1593557,0.146666667,0.1943256,0.2678934
One-Hit Wonders,0.12344,0.144285714,0.164285714,0.2198864
Alternative 90s,0.142455,0.144285714,0.164285714,0.221165273
Soft Pop Hits,0.31,0.33,0.35,0.4
Country's Greatest Hits_  The '70's,0.13324,0.144285714,0.170737327,0.229919586
Latin Pride,0.147789,0.163333333,0.183333333,0.233333333
One More Rep,0.1125,0.1425,0.1625,0.214798851
A Perfect Day,0.1254,0.141111111,0.161111111,0.213216374
Happy Folk,0.13,0.17,0.197894737,0.253157895
K-Hip-Hop Beats,0.11,0.13,0.15,0.203315789
The Most Beautiful Songs in the World,0.1132,0.14952381,0.16952381,0.21952381
Low-Key,0.10346,0.13,0.15,0.201851852
70s Rock Anthems,0.131586,0.134761905,0.161658456,0.211658456
Wake Up Happy,0.21,0.24,0.266818182,0.316818182
Contemporary Blend,0.102,0.13,0.152040816,0.202040816
Retro Pop,0.12,0.13,0.15,0.2
Adrenaline Workout,0.12,0.13,0.162347826,0.216097826
Workday_ Pop,0.1700274,0.215555556,0.288023088,0.338023088
Hard Rock Workout,0.1124,0.137142857,0.157142857,0.20974026
Chill Instrumental Beats,0.17,0.23,0.25,0.3
Lush Lofi,0.22,0.33,0.380350496,0.430350496
Country's Greatest Hits_  The '50s,0.120334,0.13,0.161253561,0.219968942
Punk Rock Workout,0.316190476,0.334652015,0.408731,0.47882475
NTC_ Studio Sounds,0.112145,0.139090909,0.17883453,0.2346356
