Rock Me UP!,0.4,0.5,0.5,0.7
Women of Pop,0.2,0.2,0.3,0.4
Mellow Bars,0.3,0.3,0.4,0.6
Piano in the Background,0.2,0.2,0.3,0.3
Mood Booster,0.4,0.4,0.4,0.6
Salsa Hits_ Los 90s,0.2,0.4,0.4,0.5
Country's Greatest Hits_  The '60s,0.3,0.4,0.4,0.6
Guilty Pleasures,0.2,0.2,0.4,0.8
Indie Workout,0.2,0.4,0.4,0.5
Made in Chile,0.4,0.5,0.6,0.9
Cool Down,0.2,0.2,0.2,0.3
80s Rock Anthems,0.1,0.1,0.2,0.4
Get Turnt,0.2,0.2,0.3,0.5
All Out 90s,0.2,0.3,0.4,0.4
Country's Greatest Hits_  The '80s,0.2,0.3,0.3,0.4
80s Hard Rock,0.4,0.4,0.6,0.7
Alternative 10s,0.2,0.2,0.3,0.5
Feel-Good Indie Rock,0.1,0.1,0.2,0.3
Pop Sauce,0.1,0.1,0.3,0.4
Autumn Leaves,0.2,0.3,0.4,0.4
Deep Dark Indie,0.3,0.4,0.4,0.6
One-Hit Wonders,0.4,0.5,0.5,0.5
Alternative 90s,0.4,0.4,0.4,0.6
Soft Pop Hits,0.2,0.2,0.2,0.7
Country's Greatest Hits_  The '70's,0.1,0.1,0.2,0.4
Latin Pride,0.4,0.5,0.5,0.6
One More Rep,0.4,0.4,0.6,0.7
A Perfect Day,0.1,0.1,0.1,0.2
Happy Folk,0.2,0.2,0.3,0.4
K-Hip-Hop Beats,0.2,0.2,0.3,0.5
The Most Beautiful Songs in the World,0.4,0.4,0.6,0.7
Low-Key,0.2,0.2,0.3,0.5
70s Rock Anthems,0.3,0.4,0.4,0.7
Wake Up Happy,0.2,0.2,0.3,0.3
Contemporary Blend,0.4,0.4,0.6,0.7
Retro Pop,0.4,0.4,0.6,0.6
Adrenaline Workout,0.3,0.4,0.6,0.9
Workday_ Pop,0.3,0.3,0.6,0.6
Hard Rock Workout,0.1,0.1,0.1,0.2
Chill Instrumental Beats,0.4,0.4,0.6,0.7
Lush Lofi,0.2,0.2,0.5,0.5
Country's Greatest Hits_  The '50s,0.2,0.2,0.2,0.4
Punk Rock Workout,0.5,0.5,0.6,0.7
NTC_ Studio Sounds,0.1,0.1,0.2,0.2
All Out 00s,0.2,0.2,0.3,0.5
Your Favorite Coffeehouse,0.1,0.2,0.2,0.3
Infinite Acoustic,0.1,0.2,0.4,0.5
Swagger,0.1,0.1,0.1,0.3
The GRAMMYs Official Playlist,0.5,0.5,0.6,0.6
All Out 80s,0.2,0.3,0.3,0.5
