Playlist,10,20,50,100
Women of Pop,0.10123,0.143181818,0.177934,0.2133395
Mellow Bars,0.06,0.1,0.107886905,0.107886905
Piano in the Background,0.07486,0.242857143,0.2976534,0.3288742
Mood Booster,0.1,0.1,0.1,0.1
Salsa Hits_ Los 90s,0.3,0.34974359,0.357714,0.42119634
Country's Greatest Hits_  The '60s,0.1,0.105,0.105,0.105
Guilty Pleasures,0.1,0.1,0.1,0.107304029
Indie Workout,0.1,0.1,0.1,0.101298701
Made in Chile,0.075573,0.13,0.13,0.13
Cool Down,0.105677,0.216666667,0.2633845,0.2998465
80s Rock Anthems,0.1,0.105882353,0.111422845,0.154432845
Get Turnt,0.101,0.212856,0.35562,0.66431
All Out 90s,0.1,0.1,0.107022809,0.110820277
Country's Greatest Hits_  The '80s,0.166666667,0.186666667,0.2122091,0.31445231
80s Hard Rock,0.08734,0.134848485,0.16788934,0.1883753
Alternative 10s,0.089779,0.1,0.102040816,0.102040816
Feel-Good Indie Rock,0.0785599,0.106666667,0.111111111,0.114725569
Pop Sauce,0.109090909,0.109090909,0.121340909,0.125736513
Autumn Leaves,0.1,0.1,0.103846154,0.110918114
Deep Dark Indie,0.1093557,0.116666667,0.1443256,0.1678934
One-Hit Wonders,0.1097465,0.114285714,0.114285714,0.1198864
Alternative 90s,0.096886,0.114285714,0.114285714,0.121165273
Soft Pop Hits,0.3,0.3,0.3,0.3
Country's Greatest Hits_  The '70's,0.114285714,0.114285714,0.120737327,0.129919586
Latin Pride,0.097789,0.133333333,0.133333333,0.133333333
One More Rep,0.1125,0.1125,0.1125,0.114798851
A Perfect Day,0.0754,0.111111111,0.111111111,0.113216374
Happy Folk,0.14,0.14,0.147894737,0.153157895
K-Hip-Hop Beats,0.1,0.1,0.1,0.103315789
The Most Beautiful Songs in the World,0.11,0.11952381,0.11952381,0.11952381
Low-Key,0.1,0.1,0.1,0.101851852
70s Rock Anthems,0.0869975,0.104761905,0.111658456,0.111658456
Wake Up Happy,0.2,0.21,0.216818182,0.216818182
Contemporary Blend,0.1,0.1,0.102040816,0.102040816
Retro Pop,0.1,0.1,0.1,0.1
Adrenaline Workout,0.1,0.1,0.112347826,0.116097826
